timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1743621900000,86348.0,86400.0,86223.99,86351.1,39.4289,1743622199999,3403801.7705544,9364,18.16429,1568039.2646,0
1743622200000,86351.09,86452.47,86237.73,86428.01,48.23511,1743622499999,4165902.5278151,13406,27.17774,2347430.2309536,0
1743622500000,86428.01,86482.79,86357.44,86394.79,46.91895,1743622799999,4055265.3919544,11129,25.24896,2182382.57484,0
1743622800000,86394.8,86456.0,86302.0,86406.0,45.42915,1743623099999,3924596.7022963,12822,20.79129,1796077.2545474,0
1743623100000,86406.0,86518.31,86405.99,86425.94,43.14146,1743623399999,3730553.4993758,10642,21.50936,1860029.731454,0
1743623400000,86425.94,86430.62,86337.45,86378.15,68.7272,1743623699999,5937807.0907472,13714,33.48434,2892865.0014318,0
1743623700000,86378.15,87000.0,86378.15,86900.02,198.94604,1743623999999,17265985.2666263,27620,121.67873,10558856.4583751,0
1743624000000,86900.01,86911.99,86663.51,86723.8,116.54095,1743624299999,10111010.2762326,22192,47.61369,4130281.9549131,0
1743624300000,86723.8,87000.0,86637.68,86637.69,249.49999,1743624599999,21667353.0940435,26793,136.66664,11870712.8258335,0
1743624600000,86637.68,88260.26,86063.86,87776.2,1792.27614,1743624899999,156707772.9643238,120257,1186.2088,103793573.6168579,0
1743624900000,87776.2,88500.0,87353.38,87922.0,1405.33839,1743625199999,123629137.2067011,123444,796.72489,70092373.5368359,0
1743625200000,87922.0,87957.91,87208.46,87359.25,450.56447,1743625499999,39433620.6909635,67489,265.18658,23213663.0713058,0
1743625500000,87359.25,87596.73,85461.45,85892.64,1601.06242,1743625799999,138034659.3297224,159218,781.53655,67389359.5364111,0
1743625800000,85892.81,86976.92,85523.79,85896.95,884.51884,1743626099999,76042105.7154659,101068,555.64787,47786503.7559968,0
1743626100000,85896.96,86015.17,85233.17,85630.01,558.98017,1743626399999,47828833.7132582,67355,221.98588,18987506.715962,0
1743626400000,85630.0,85668.29,85228.39,85369.99,209.47461,1743626699999,17889831.0492276,40857,87.51032,7473429.7699366,0
1743626700000,85370.0,85767.76,85230.01,85764.01,234.01434,1743626999999,20000516.1229117,36831,141.62411,12103844.9835154,0
1743627000000,85764.01,85856.0,85473.0,85606.88,193.3657,1743627299999,16562466.3618624,28386,110.86844,9497392.6074676,0
1743627300000,85606.87,85753.2,85548.0,85659.99,136.99897,1743627599999,11732457.308916,24856,79.85684,6839052.4262243,0
1743627600000,85659.99,85743.22,85301.57,85312.02,101.74451,1743627899999,8694463.5589902,14556,33.3461,2851304.0459203,0
1743627900000,85312.02,85313.99,84716.35,84727.92,400.33375,1743628199999,34013997.3760605,43351,112.95299,9592330.7161658,0
1743628200000,84727.92,84786.04,84480.0,84549.91,231.33654,1743628499999,19574197.3288907,34948,83.99212,7108204.7377795,0
1743628500000,84549.9,84854.0,84207.26,84439.42,332.80889,1743628799999,28130961.1959207,40337,138.89403,11744181.6185489,0
1743628800000,84439.42,84922.56,84350.0,84711.99,177.0772,1743629099999,14980923.4182862,31094,118.12819,9995010.7891654,0
1743629100000,84711.98,84769.91,84494.79,84621.73,117.84062,1743629399999,9972335.9642724,21876,48.76763,4127428.8356221,0
1743629400000,84621.74,84689.0,84400.0,84481.25,95.14171,1743629699999,8043205.304622,23887,39.73283,3359393.8829763,0
1743629700000,84481.25,84646.85,84400.0,84641.72,67.63071,1743629999999,5716788.3787275,10191,34.7867,2940861.8243983,0
1743630000000,84641.71,84676.85,84524.0,84626.95,41.62543,1743630299999,3521795.3752033,8069,19.64489,1661934.8102338,0
1743630300000,84626.96,84626.96,84441.85,84484.62,52.85337,1743630599999,4465166.9548048,7345,27.89464,2356309.9505863,0
1743630600000,84484.61,84727.26,84450.0,84727.26,51.15219,1743630899999,4324158.5039567,9011,30.95825,2617762.7402866,0
1743630900000,84727.25,84889.57,84632.0,84855.99,123.76543,1743631199999,10491706.071443,16413,90.20122,7646218.3499853,0
1743631200000,84855.98,84855.98,84200.0,84379.1,271.02625,1743631499999,22901113.5606414,32827,90.16751,7619398.6564412,0
1743631500000,84379.1,84379.1,83905.0,83938.92,346.93294,1743631799999,29185235.5938634,32749,95.47221,8032796.1215117,0
1743631800000,83938.92,83984.0,83582.43,83684.85,336.83432,1743632099999,28209293.905936,44918,155.16784,12994312.0740924,0
1743632100000,83684.86,83684.86,83333.74,83532.91,323.03057,1743632399999,26970843.7666211,39883,150.66748,12577955.1290809,0
1743632400000,83532.91,83600.0,83292.0,83597.49,231.4496,1743632699999,19310614.2140014,28656,102.18915,8527400.5433149,0
1743632700000,83597.5,83635.4,83430.0,83477.92,138.60202,1743632999999,11575201.8987467,17888,62.41066,5212211.0687666,0
1743633000000,83476.68,83476.68,83072.65,83129.33,239.95842,1743633299999,19976186.6647178,30669,69.98298,5826219.4676777,0
1743633300000,83129.34,83224.55,82936.0,83003.74,261.23433,1743633599999,21702545.774533,33033,104.72617,8700067.2372879,0
1743633600000,83003.74,83180.94,82706.7,82737.63,348.72588,1743633899999,28923994.0585395,38617,121.54089,10083043.8465949,0
1743633900000,82737.64,83036.0,82682.0,83036.0,199.15701,1743634199999,16506794.5537928,34524,107.64135,8922303.1589916,0
1743634200000,83036.0,83126.0,82871.53,82940.24,135.72962,1743634499999,11263952.2120417,21508,59.5112,4940016.1848694,0
1743634500000,82940.23,82940.24,82755.45,82821.59,203.99331,1743634799999,16895633.9353432,21550,82.05584,6796482.0125125,0
1743634800000,82821.6,82821.6,82320.0,82521.06,533.28845,1743635099999,43987532.3459382,46669,168.80729,13923448.9547289,0
1743635100000,82521.06,82646.0,82388.7,82535.98,253.51906,1743635399999,20924000.7871186,25223,127.98314,10563913.3449189,0
1743635400000,82535.98,82726.0,82403.26,82707.52,173.71773,1743635699999,14340071.2606849,22995,104.15485,8599854.7610897,0
1743635700000,82707.51,82715.42,82460.0,82556.97,195.12089,1743635999999,16108006.0984316,18724,82.0469,6773539.8982355,0
1743636000000,82556.98,82684.0,82448.93,82650.0,236.9798,1743636299999,19565018.8511312,19497,114.66998,9468321.2959263,0
1743636300000,82650.01,82845.42,82550.02,82842.6,355.45042,1743636599999,29398975.7597502,28692,184.17359,15234141.2132127,0
1743636600000,82842.6,82842.6,82600.0,82792.45,337.94707,1743636899999,27958157.7783333,23261,169.83691,14051837.0407209,0
1743636900000,82792.46,82792.46,82506.84,82713.55,132.8358,1743637199999,10975745.3348005,14203,71.41636,5900704.9377377,0
1743637200000,82713.55,82713.55,82533.16,82658.74,174.33484,1743637499999,14405979.7119448,14433,94.92707,7844623.2001871,0
1743637500000,82658.73,82658.74,82500.0,82560.29,171.31401,1743637799999,14140907.8026688,14089,68.47892,5653038.9530589,0
1743637800000,82560.29,82592.88,82486.0,82549.93,184.00798,1743638099999,15186483.9592651,14607,84.84551,7002578.7193247,0
1743638100000,82549.93,82640.0,82486.04,82516.29,81.12875,1743638399999,6696705.284231,12258,44.11378,3641473.7121737,0
1743638400000,82516.28,82617.09,82175.98,82327.38,290.40593,1743638699999,23919402.8781838,28343,110.34385,9090013.9390358,0
1743638700000,82327.38,82673.1,82324.02,82621.74,224.62422,1743638999999,18536236.5132011,32720,131.35878,10838286.9521682,0
1743639000000,82621.73,82800.0,82560.0,82761.36,132.1854,1743639299999,10930849.113542,18816,86.83598,7180527.6450667,0
1743639300000,82761.37,83155.0,82704.44,83143.99,198.68208,1743639599999,16482736.6946155,28465,131.48443,10907142.7479327,0
1743639600000,83144.0,83256.22,83036.73,83232.7,161.20677,1743639899999,13403858.6036532,23933,100.83457,8384101.5987418,0
1743639900000,83232.7,83275.35,82945.51,82958.0,158.10369,1743640199999,13142400.2359909,18235,75.2347,6253865.2957311,0
1743640200000,82958.01,83342.43,82958.01,83199.0,141.68603,1743640499999,11791647.3323635,22485,78.25224,6511242.6851557,0
1743640500000,83199.0,83424.72,83185.23,83333.01,188.65678,1743640799999,15723218.1534601,21965,122.20815,10185741.3307197,0
1743640800000,83333.0,83344.0,83150.78,83224.17,84.30206,1743641099999,7016653.7059573,16764,41.29733,3437135.6629239,0
1743641100000,83224.17,83259.38,83028.3,83137.3,100.94418,1743641399999,8394745.8638867,17651,52.52141,4367826.9183995,0
1743641400000,83137.3,83137.31,82950.0,83093.69,107.28266,1743641699999,8907401.2862141,16255,62.66633,5202270.5747236,0
1743641700000,83093.68,83239.99,83082.42,83227.55,60.70057,1743641999999,5047542.1985467,10625,37.0763,3082978.7202773,0
1743642000000,83227.55,83338.01,83190.0,83304.06,104.78148,1743642299999,8726995.0428682,15987,55.85713,4652129.9907328,0
1743642300000,83304.05,83312.0,83099.99,83250.03,67.90232,1743642599999,5648848.0546479,13084,37.86194,3149434.1954254,0
1743642600000,83250.04,83403.73,83204.27,83355.64,67.48697,1743642899999,5622517.7284472,12453,46.17418,3847123.9044365,0
1743642900000,83355.65,83442.46,83278.8,83356.96,69.74736,1743643199999,5814810.2886298,12399,36.67051,3057213.1534926,0
1743643200000,83356.96,83356.96,83164.09,83282.0,76.56926,1743643499999,6373960.7587143,12555,27.86455,2319742.8863159,0
1743643500000,83282.0,83492.41,83216.98,83482.15,114.41217,1743643799999,9539321.9085891,14624,90.27648,7527384.207899,0
